date tile lat lon B3 B4 B11 FSCOG
20180128 31TGL 45.5569 6.0564 0.0 0.0 0.0 0.0
20180130 31TGL 45.5569 6.0564 0.0 0.0 0.0 0.0
20171007 35TPF 40.6667 29.2833 0.0 0.0 0.0 0.0
20171101 35TPF 40.6667 29.2833 0.0 0.0 0.0 0.0
20171106 35TPF 40.6667 29.2833 0.0 0.0 0.0 0.0
20171209 35TPF 40.6667 29.2833 0.0 0.0 0.0 0.0
20171118 35VPJ 61.4333 29.45 0.0 0.0 0.0 0.0
20170905 34VEK 58.3667 21.8 0.0 0.0 0.0 0.0
20170908 34VEK 58.3667 21.8 0.0 0.0 0.0 0.0
20171206 31TGM 46.5413 6.2045 0.0 0.0 0.0 0.0
20171107 34VFM 59.8333 23.2333 0.0 0.0 0.0 0.0
20171203 32TPS 46.5419 10.9884 0.0 0.0 0.0 0.0
20171225 32TPS 46.5419 10.9884 0.0 0.0 0.0 0.0
20171022 34WDC 69.7833 20.95 0.0 0.0 0.0 0.0
20180127 32TPT 46.925 11.5247 0.0 0.0 0.0 0.0
20180218 32TPS 46.925 11.5247 0.0 0.0 0.0 0.0
20171126 31TGK 44.9407 6.1862 0.0 0.0 0.0 0.0
20171101 35VNH 61.05 28.2 0.0 0.0 0.0 100.0
20171116 32TLR 45.9333 7.7 0.0 0.0 0.0 0.0
20171118 32TLR 45.9333 7.7 0.0 0.0 0.0 0.0
20171121 32TLR 45.9333 7.7 0.0 0.0 0.0 0.0
20171017 36VUQ 62.7667 30.9667 0.0 0.0 0.0 0.0
20171225 34SEF 36.8167 21.7 0.0 0.0 0.0 0.0
20171004 32TLP 43.3893 7.1254 0.0 0.0 0.0 0.0
20180115 32TLP 43.3893 7.1254 0.0 0.0 0.0 0.0
20180211 32TLP 43.3893 7.1254 0.0 0.0 0.0 0.0
20180306 32TLP 43.3893 7.1254 0.0 0.0 0.0 0.0
20180512 32TLP 43.3893 7.1254 0.0 0.0 0.0 0.0
20180520 32TLP 43.3893 7.1254 0.0 0.0 0.0 0.0
20180621 32TLP 43.3893 7.1254 0.0 0.0 0.0 0.0
20180726 32TLP 43.3893 7.1254 0.0 0.0 0.0 0.0
20180803 32TLP 43.3893 7.1254 0.0 0.0 0.0 0.0
20180808 32TLP 43.3893 7.1254 0.0 0.0 0.0 0.0
20180815 32TLP 43.3893 7.1254 0.0 0.0 0.0 0.0
20180820 32TLP 43.3893 7.1254 0.0 0.0 0.0 0.0
20180825 32TLP 43.3893 7.1254 0.0 0.0 0.0 0.0
20180830 32TLP 43.3893 7.1254 0.0 0.0 0.0 0.0
20180601 32TNM 42.3244 9.2911 0.0 0.0 0.0 0.0
20170917 30TVT 47.5838 -4.0964 0.0 0.0 0.0 0.0
20170922 30TVT 47.5838 -4.0964 0.0 0.0 0.0 0.0
20171004 30TVT 47.5838 -4.0964 0.0 0.0 0.0 0.0
20171007 30TVT 47.5838 -4.0964 0.0 0.0 0.0 0.0
20171106 30TVT 47.5838 -4.0964 0.0 0.0 0.0 0.0
20171108 30TVT 47.5838 -4.0964 0.0 0.0 0.0 0.0
20171218 30TVT 47.5838 -4.0964 0.0 0.0 0.0 0.0
20180204 30TVT 47.5838 -4.0964 0.0 0.0 0.0 0.0
20180226 30TVT 47.5838 -4.0964 0.0 0.0 0.0 0.0
20180303 30TVT 47.5838 -4.0964 0.0 0.0 0.0 0.0
20180328 30TVT 47.5838 -4.0964 0.0 0.0 0.0 0.0
20180331 30TVT 47.5838 -4.0964 0.0 0.0 0.0 0.0
20180417 30TVT 47.5838 -4.0964 0.0 0.0 0.0 0.0
20170903 36WVD 70.3667 31.0833 0.0 0.0 0.0 0.0
20170905 36WVD 70.3667 31.0833 0.0 0.0 0.0 0.0
20171009 36WVD 70.3667 31.0833 0.0 0.0 0.0 0.0
20171010 36WVD 70.3667 31.0833 0.0 0.0 0.0 0.0
20171118 32TPS 46.8228 11.177 0.0 0.0 0.0 0.0
20171129 31TFH 43.2626 5.1296 0.0 0.0 0.0 0.0
20170924 32TMK 40.55 8.15 0.0 0.0 0.0 0.0
20170929 32TMK 40.55 8.15 0.0 0.0 0.0 0.0
20171004 32TMK 40.55 8.15 0.0 0.0 0.0 0.0
20171009 32TMK 40.55 8.15 0.0 0.0 0.0 0.0
20171014 32TMK 40.55 8.15 0.0 0.0 0.0 0.0
20171024 32TMK 40.55 8.15 0.0 0.0 0.0 0.0
20171103 32TMK 40.55 8.15 0.0 0.0 0.0 0.0
20171123 32TMK 40.55 8.15 0.0 0.0 0.0 0.0
20171203 32TMK 40.55 8.15 0.0 0.0 0.0 0.0
20171213 32TMK 40.55 8.15 0.0 0.0 0.0 0.0
20171223 32TMK 40.55 8.15 0.0 0.0 0.0 0.0
20171206 33TYJ 43.7667 18.0333 0.0 0.0 0.0 0.0
20180508 31TEL 45.2766 3.3196 0.0 0.0 0.0 0.0
20171116 31TGK 45.0692 6.1683 0.0 0.0 0.0 0.0
20171121 31TGK 45.0692 6.1683 0.0 0.0 0.0 0.0
20171225 32TQT 47.15 11.85 0.0 0.0 0.0 0.0
20170930 34UDV 49.2 20.2167 0.0 0.0 0.0 0.0
20171106 34UDV 49.2 20.2167 0.0 0.0 0.0 0.0
20171128 30TVT 47.4577 -3.2614 0.0 0.0 0.0 0.0
20180507 30TVT 47.4577 -3.2614 0.0 0.0 0.0 0.0
20180721 30TVT 47.4577 -3.2614 0.0 0.0 0.0 0.0
20180818 30TVT 47.4577 -3.2614 0.0 0.0 0.0 0.0
20180825 30TVT 47.4577 -3.2614 0.0 0.0 0.0 0.0
20180608 32UQV 48.9832 12.1443 0.0 0.0 0.0 0.0
20170908 33WVQ 67.4 13.8833 0.0 0.0 0.0 0.0
20170918 33WVQ 67.4 13.8833 0.0 0.0 0.0 0.0
20170919 33WVQ 67.4 13.8833 0.0 0.0 0.0 0.0
20170923 33WVQ 67.4 13.8833 0.0 0.0 0.0 0.0
20170924 33WVQ 67.4 13.8833 0.0 0.0 0.0 0.0
20170926 33WVQ 67.4 13.8833 0.0 0.0 0.0 0.0
20170928 33WVQ 67.4 13.8833 0.0 0.0 0.0 0.0
20170929 33WVQ 67.4 13.8833 0.0 0.0 0.0 0.0
20171001 33WVQ 67.4 13.8833 0.0 0.0 0.0 0.0
20171009 33WVQ 67.4 13.8833 0.0 0.0 0.0 0.0
20171019 33WVQ 67.4 13.8833 0.0 0.0 0.0 0.0
20171021 33WVQ 67.4 13.8833 0.0 0.0 0.0 0.0
20171024 33WVQ 67.4 13.8833 0.0 0.0 0.0 0.0
20170924 35VNJ 61.5167 28.1833 0.0 0.0 0.0 0.0
20171020 35VNJ 61.5167 28.1833 0.0 0.0 0.0 0.0
20171101 35VNJ 61.5167 28.1833 0.0 0.0 0.0 0.0
20170924 35VPJ 61.8 29.3 0.0 0.0 0.0 0.0
20171101 35VPJ 61.8 29.3 0.0 0.0 0.0 0.0
20170925 32VPR 63.7667 11.6667 0.0 0.0 0.0 0.0
20170926 32VPR 63.7667 11.6667 0.0 0.0 0.0 0.0
20171020 32VPR 63.7667 11.6667 0.0 0.0 0.0 0.0
20180306 32TLP 43.6427 7.2053 0.0 0.0 0.0 0.0
20171216 32UPF 54.0833 10.8667 0.0 0.0 0.0 0.0
20171218 32UPF 54.0833 10.8667 0.0 0.0 0.0 0.0
20180124 32TPS 46.3469 11.305 0.0 0.0 0.0 0.0
20171225 32TQS 46.7167 12.2167 0.0 0.0 0.0 0.0
20171103 32UQA 50.4167 12.6 0.0 0.0 0.0 0.0
20171213 32UQA 50.4167 12.6 0.0 0.0 0.0 0.0
20171225 32TQS 46.574 11.673 0.0 0.0 0.0 0.0
20170905 33TVK 44.9833 14.9 0.0 0.0 0.0 0.0
20170918 33TVK 44.9833 14.9 0.0 0.0 0.0 0.0
20170930 33TVK 44.9833 14.9 0.0 0.0 0.0 0.0
20171015 33TVK 44.9833 14.9 0.0 0.0 0.0 0.0
20171025 33TVK 44.9833 14.9 0.0 0.0 0.0 0.0
20171104 33TVK 44.9833 14.9 0.0 0.0 0.0 0.0
20171117 33TVK 44.9833 14.9 0.0 0.0 0.0 0.0
20171217 33TVK 44.9833 14.9 0.0 0.0 0.0 0.0
20171030 33TWE 40.0167 15.2667 0.0 0.0 0.0 0.0
20171115 34VEP 61.8333 22.45 0.0 0.0 0.0 0.0
20170903 32VLK 57.9667 7.0333 0.0 0.0 0.0 0.0
20170906 32VLK 57.9667 7.0333 0.0 0.0 0.0 0.0
20170918 32VLK 57.9667 7.0333 0.0 0.0 0.0 0.0
20170923 32VLK 57.9667 7.0333 0.0 0.0 0.0 0.0
20171001 32VLK 57.9667 7.0333 0.0 0.0 0.0 0.0
20171008 32VLK 57.9667 7.0333 0.0 0.0 0.0 0.0
20171112 32VLK 57.9667 7.0333 0.0 0.0 0.0 0.0
20171115 32VLK 57.9667 7.0333 0.0 0.0 0.0 0.0
20171106 35TPF 41.1333 29.0667 0.0 0.0 0.0 0.0
20171224 35TPF 41.1333 29.0667 0.0 0.0 0.0 0.0
20171107 34WFT 65.0167 24.7167 0.0 0.0 0.0 0.0
20180818 32UNU 47.8835 9.2239 0.0 0.0 0.0 0.0
20170920 33TVK 44.75 14.7667 0.0 0.0 0.0 0.0
20171025 33TVK 44.75 14.7667 0.0 0.0 0.0 0.0
20171124 33TVK 44.75 14.7667 0.0 0.0 0.0 0.0
20171204 33TVK 44.75 14.7667 0.0 0.0 0.0 0.0
20171219 33TVK 44.75 14.7667 0.0 0.0 0.0 0.0
20171224 33TVK 44.75 14.7667 0.0 0.0 0.0 0.0
20171229 33TVK 44.75 14.7667 0.0 0.0 0.0 0.0
20180204 32UMU 47.8904 8.5531 0.0 0.0 0.0 0.0
20171115 32TPS 46.701 11.4145 0.0 0.0 0.0 0.0
20180112 32TPS 46.701 11.4145 0.0 0.0 0.0 0.0
20180124 32TPS 46.701 11.4145 0.0 0.0 0.0 0.0
20180218 32TPS 46.701 11.4145 0.0 0.0 0.0 0.0
20180325 32TPS 46.701 11.4145 0.0 0.0 0.0 0.0
20171102 33TTG 42.0167 11.8167 0.0 0.0 0.0 0.0
20171112 33TTG 42.0167 11.8167 0.0 0.0 0.0 0.0
20171115 33TTG 42.0167 11.8167 0.0 0.0 0.0 0.0
20171120 33TTG 42.0167 11.8167 0.0 0.0 0.0 0.0
20170902 34WDB 69.0333 20.7833 0.0 0.0 0.0 0.0
20171013 34WDB 69.0333 20.7833 0.0 0.0 0.0 0.0
20171023 34WDB 69.0333 20.7833 0.0 0.0 0.0 0.0
20170918 33TUL 45.6667 13.75 0.0 0.0 0.0 0.0
20171008 33TVL 45.6667 13.75 0.0 0.0 0.0 0.0
20170912 31TGN 47.5731 6.2776 0.0 0.0 0.0 0.0
20171221 32TLS 46.0017 6.4183 0.0 0.0 0.0 0.0
20180609 32TLS 46.0017 6.4183 0.0 0.0 0.0 0.0
20170923 32VLK 58.1 6.5667 0.0 0.0 0.0 0.0
20171018 32VLK 58.1 6.5667 0.0 0.0 0.0 0.0
20171105 32VLK 58.1 6.5667 0.0 0.0 0.0 0.0
20171115 32VLK 58.1 6.5667 0.0 0.0 0.0 0.0
20180101 32VLK 58.1 6.5667 0.0 0.0 0.0 0.0
20170927 32ULU 48.0046 6.5649 0.0 0.0 0.0 0.0
20171116 34UDV 49.2167 19.9667 0.0 0.0 0.0 0.0
20171216 32UNF 54.8167 9.5 0.0 0.0 0.0 0.0
20171229 32UNF 54.8167 9.5 0.0 0.0 0.0 0.0
20171116 31TGL 45.4531 6.3212 0.0 0.0 0.0 0.0
20171121 31TGL 45.4531 6.3212 0.0 0.0 0.0 0.0
20171206 31TGL 45.4531 6.3212 0.0 0.0 0.0 0.0
20170919 33WVR 68.15 14.65 0.0 0.0 0.0 0.0
20170924 33WVR 68.15 14.65 0.0 0.0 0.0 0.0
20170929 33WVR 68.15 14.65 0.0 0.0 0.0 0.0
20171008 33WVR 68.15 14.65 0.0 0.0 0.0 0.0
20171021 33WVR 68.15 14.65 0.0 0.0 0.0 0.0
20171024 33WVR 68.15 14.65 0.0 0.0 0.0 0.0
20171026 33WVR 68.15 14.65 0.0 0.0 0.0 0.0
20171206 31TGK 44.7552 6.792 0.0 0.0 0.0 0.0
20180130 31TGK 44.7552 6.792 0.0 0.0 0.0 0.0
20180209 31TGK 44.7552 6.792 0.0 0.0 0.0 0.0
20180210 31TCN 47.2667 0.4364 0.0 0.0 0.0 0.0
20180521 31UDP 48.493 2.2027 0.0 0.0 0.0 0.0
20171116 31TGK 44.6932 6.8683 0.0 0.0 0.0 0.0
20171121 31TGK 44.6932 6.8683 0.0 0.0 0.0 0.0
